"Title_Number","Tenure","Property_Address","District","County","Region","Postcode","Multiple_Address_Indicator","Price_Paid","Proprietor_Name1","Company_Registration_No","Proprietorship_Category_1","CountryIncorporated1","Proprietor_1_Address_1","Proprietor_1_Address_2","Proprietor_1_Address_3","Proprietor_Name_2","Company_Registration_No_2","Proprietorship_Category_2","CountryIncorporated2","Proprietor_2_Address_1","Proprietor_2_Address_2","Proprietor_2_Address_3","Proprietor_Name_3","Company_Registration_No_3","Proprietorship_Category_3","CountryIncorporated3","Proprietor_3_Address_1","Proprietor_3_Address_2","Proprietor_3_Address_3","Proprietor_Name_4","Company_Registration_No_4","Proprietorship_Category_4","Country_Incorporated4","Proprietor_4_Address_1","Proprietor_4_Address_2","Proprietor_4_Address_3","Date_Proprietor_Added","Additional_Proprietor_Indicator","Latitude","Longitude"
"WM363928","Freehold","263b Bromford Lane, Washwood Heath, Birmingham (B8 2SG)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B8 2SG","N",,"ABC INTERNATIONAL LIMITED",,"Limited Company or Public Limited Company","BRITISH VIRGIN ISLANDS","378 East Park Road, Leicester",,,,,,,,,,,,,,,,,,,,,,,,"13-10-2000","N","52.5039048","-1.8307159"
"WM419743","Leasehold","land lying to the South side of Wainwright Street, Aston","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"INDUSTRIALS UK LP",,"Unlimited Company","DELAWARE, U.S.A.","10-12 Blandford Street, London W1U 4AZ",,,,,,,,,,,,,,,,,,,,,,,,"15-09-2015","N","0","0"
"WM425571","Leasehold","1126 and 1128 Stratford Road, Hall Green (B28 8AE)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B28 8AE","N",,"IZAR LIMITED",,"Limited Company or Public Limited Company","SEYCHELLES","Suite 240, 50 East Castle Street, London W1W 8EA",,,,,,,,,,,,,,,,,,,,,,,,"19-09-2016","N","52.4389116446312","-1.84769750427743"
"WM452358","Leasehold","UNIT 1, KOTWALL HOUSE, 10 LADYWELL WALK, BIRMINGHAM B5 4ST","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B5 4ST","Y",,"FIRM COMMENCE PROPERTIES LIMITED",,"Limited Company or Public Limited Company","HONG KONG","Unit B206, Arcadian Centre, Hurst Street, Birmingham B5 4TD",,,,,,,,,,,,,,,,,,,,,,,,"22-12-1988","N","52.4751784","-1.8963932"
"WM929505","Freehold","Land at Fort Parkway, Fort Dunlop, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"SOCAVIA III S A R L",,"Corporate Body","LUXEMBOURG","28 Boulevard Joseph II, L-1840, Luxembourg",,,,,,,,,,,,,,,,,,,,,,,,"19-05-2008","N","0","0"
"WM930780","Leasehold","Apartment 608, The Rotunda, 150 New Street, Birmingham (B2 4PA)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B2 4PA","N","147000","BUTTONWOOD HOLDINGS LIMITED",,"Limited Company or Public Limited Company","BAHAMAS","Sa10, Rue Muzy 1207, Geneva, Switzerland",,,,,,,,,,,,,,,,,,,,,,,,"27-02-2017","N","52.4784064","-1.89589"
"MM1590","Leasehold","Airspace above 43 Haywood Road, Birmingham (B33 0LJ)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B33 0LJ","N",,"SOLARFAIR INVESTMENTS LIMITED",,"Limited Company or Public Limited Company","JERSEY","PO Box 781, 8 Church Street, St Helier, Jersey JE4 0SG",,,,,,,,,,,,,,,,,,,,,,,,"13-12-2012","N","52.4779104722587","-1.76522877901411"
"MM2626","Leasehold","Canalside Car Park, Brindley Place, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"HINES-LASER BRINDLEY 100 S.A.R.L",,"Corporate Body","LUXEMBOURG","205, route d'Arlon L-1550, Luxembourg, Grand Duche de Luxembourg",,,,,,,,,,,,,,,,,,,,,,,,"29-03-2012","N","0","0"
"MM5504","Leasehold","Airspace above 78 Lomaine Drive, Birmingham (B30 1AJ)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B30 1AJ","N",,"SOLARFAIR INVESTMENTS LIMITED",,"Limited Company or Public Limited Company","JERSEY","PO Box 781, 8 Church Street, St Helier, Jersey JE4 0SG",,,,,,,,,,,,,,,,,,,,,,,,"07-12-2012","N","52.4140925490774","-1.94114085279005"
"WM933288","Leasehold","Apartment 241, Derwent Foundry, 5 Mary Ann Street, Birmingham (B3 1BG)","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS","B3 1BG","N",,"WEALTH OPTIONS TRUSTEES LIMITED",,"Limited Company or Public Limited Company","IRELAND","Millennium Park, Naas, County Kildare, Ireland",,,,,,,,,,,,,,,,,,,,,,,,"11-07-2008","Y","52.485596","-1.90381"
"WM933327","Leasehold","139-141 Bromsgrove Street, Birmingham","BIRMINGHAM","WEST MIDLANDS","WEST MIDLANDS",,"N",,"ALPHA REAL TRUST LIMITED",,"Limited Company or Public Limited Company","GUERNSEY","338 Euston Road, London NW1 3BG",,,,,,,,,,,,,,,,,,,,,,,,"19-11-2015","Y","0","0"
