"","generalElectionVote","partyId1","partyId","countryOfBirth","reasonForVote"
"6488",NA,1,1,NA,NA
"6489",1,1,1,NA,1
"6490",1,1,1,1,1
"6491",1,1,1,1,2
"6492",7,2,2,1,3
"6493",2,2,2,1,2
"6494",1,1,1,1,2
"6495",6,10,10,1,3
"6496",1,1,1,NA,1
"6497",2,2,2,1,1
"6498",2,2,2,1,1
"6499",1,6,6,1,4
"6500",2,2,2,1,5
"6501",NA,10,10,1,NA
"6502",1,10,10,1,5
"6503",1,2,2,1,1
"6504",6,6,6,1,2
"6505",1,10,10,1,5
"6506",3,3,3,1,3
"6507",6,1,1,1,2
"6508",2,2,2,1,2
"6509",1,1,1,1,1
"6510",1,1,1,1,3
"6511",3,3,3,1,2
"6512",6,1,1,1,2
"6513",2,2,2,1,2
"6514",2,10,10,1,4
"6515",1,10,10,1,5
"6516",1,10,10,1,2
"6517",6,10,10,1,0
"6518",1,1,1,1,2
"6519",7,10,10,1,2
"6520",6,6,6,NA,2
"6521",2,7,7,1,4
"6522",2,2,2,1,1
"6523",1,10,10,1,5
"6524",2,2,2,1,2
"6525",2,2,2,1,1
"6526",2,2,2,1,4
"6527",1,1,1,1,2
"6528",3,10,10,1,5
"6529",2,2,2,1,2
"6530",2,7,7,1,2
"6531",1,1,1,NA,2
"6532",7,1,1,1,4
"6533",3,10,10,7,2
"6534",7,7,7,1,2
"6535",2,10,10,1,3
"6536",6,99,9999,1,2
"6537",3,3,3,1,2
"6538",1,1,1,1,3
"6539",6,6,6,1,2
"6540",6,1,1,4,4
"6541",7,10,10,NA,2
"6542",1,1,1,1,2
"6543",2,2,2,1,2
"6544",3,1,1,NA,4
"6545",2,2,2,1,4
"6546",3,3,3,1,2
"6547",2,2,2,1,2
"6548",1,1,1,NA,2
"6549",2,2,2,NA,1
"6550",2,2,2,1,2
"6551",1,1,1,NA,2
"6552",NA,10,10,1,NA
"6553",6,1,1,1,4
"6554",2,3,3,NA,2
"6555",2,10,10,1,2
"6556",6,10,10,1,2
"6557",3,3,3,1,1
"6558",2,2,2,1,3
"6559",3,10,10,1,2
"6560",3,1,1,1,5
"6561",3,1,1,1,4
"6562",2,2,2,9999,2
"6563",3,10,10,NA,5
"6564",1,1,1,NA,2
"6565",2,2,2,1,2
"6566",6,1,1,1,4
"6567",2,99,9999,1,3
"6568",7,7,7,1,2
"6569",2,7,7,NA,2
"6570",1,6,6,1,2
"6571",2,1,1,6,2
"6572",3,3,3,1,3
"6573",3,3,3,1,2
"6574",7,7,7,1,2
"6575",2,99,9999,NA,2
"6576",1,1,1,1,1
"6577",2,2,2,1,1
"6578",1,1,1,1,2
"6579",2,2,2,1,2
"6580",6,6,6,NA,2
"6581",2,2,2,1,2
"6582",2,2,2,NA,2
"6583",2,2,2,NA,1
"6584",3,10,10,2,2
"6585",1,1,1,1,2
"6586",7,10,10,1,2
"6587",2,2,2,1,2
"6588",1,1,1,1,1
"6589",3,1,1,6,4
"6590",2,2,2,1,1
"6591",2,2,2,1,1
"6592",6,1,1,1,3
"6593",6,1,1,1,4
"6594",1,1,1,8,2
"6595",6,2,2,1,4
"6596",6,6,6,1,5
"6597",1,10,10,1,5
"6598",6,6,6,1,2
"6599",2,2,2,1,2
"6600",6,2,2,1,3
"6601",1,1,1,1,2
"6602",1,1,1,1,1
"6603",6,6,6,1,3
"6604",6,6,6,1,2
"6605",2,2,2,1,1
"6606",7,10,10,1,2
"6607",6,10,10,1,3
"6608",6,9,9,1,2
"6609",1,1,1,1,1
"6610",2,10,10,1,2
"6611",6,6,6,NA,2
"6612",2,2,2,NA,2
"6613",6,6,6,1,2
"6614",9999,1,1,1,1
"6615",6,10,10,1,3
"6616",1,99,9999,NA,2
"6617",1,1,1,1,1
"6618",6,2,2,NA,4
"6619",1,1,1,1,2
"6620",1,1,1,1,2
"6621",6,99,9999,1,3
"6622",2,2,2,1,2
"6623",1,1,1,1,2
"6624",1,1,1,1,2
"6625",1,1,1,1,2
"6626",1,1,1,1,1
"6627",1,1,1,1,2
"6628",2,2,2,1,2
"6629",1,1,1,NA,2
"6630",2,2,2,1,2
"6631",2,2,2,1,2
"6632",1,1,1,1,2
"6633",1,1,1,1,3
"6634",2,2,2,1,2
"6635",2,2,2,NA,1
"6636",1,1,1,1,2
"6637",1,1,1,1,2
"6638",2,2,2,1,2
"6639",2,2,2,1,1
"6640",9999,10,10,1,0
"6641",2,7,7,NA,4
"6642",2,2,2,NA,9999
"6643",1,1,1,1,2
"6644",1,1,1,1,3
"6645",1,1,1,1,2
"6646",1,10,10,1,5
"6647",7,1,1,1,5
"6648",2,2,2,1,2
"6649",1,10,10,1,5
"6650",3,3,3,1,2
"6651",1,1,1,1,1
"6652",3,3,3,1,3
"6653",1,1,1,1,1
"6654",1,10,10,1,2
"6655",2,2,2,1,5
"6656",2,2,2,1,2
"6657",2,2,2,1,2
"6658",1,1,1,1,2
"6659",1,1,1,2,2
"6660",2,2,2,1,2
"6661",1,1,1,NA,2
"6662",NA,10,10,NA,NA
"6663",6,6,6,NA,2
"6664",2,2,2,1,5
"6665",1,99,9999,1,3
"6666",6,99,9999,NA,3
"6667",6,3,3,1,2
"6668",2,5,5,1,4
"6669",6,6,6,1,2
"6670",2,2,2,3,2
"6671",NA,10,10,1,NA
"6672",6,1,1,3,4
"6673",NA,99,9999,9999,NA
"6674",7,10,10,1,2
"6675",1,10,10,3,5
"6676",1,3,3,3,4
"6677",2,2,2,1,2
"6678",1,1,1,3,1
"6679",1,1,1,1,2
"6680",5,5,5,3,1
