Filght no. full,Planefinder URL,Seats,Seats as num
FR8404,https://planefinder.net/data/flight/FR8404,,
FR73,https://planefinder.net/data/flight/FR73,,
FR6544,https://planefinder.net/data/flight/FR6544,,
FR515,https://planefinder.net/data/flight/FR515,,
FR1844,https://planefinder.net/data/flight/FR1844,,
FR8401,https://planefinder.net/data/flight/FR8401,,
FR4567,https://planefinder.net/data/flight/FR4567,,
FR6315,https://planefinder.net/data/flight/FR6315,,
FR9134,https://planefinder.net/data/flight/FR9134,,
FR6531,https://planefinder.net/data/flight/FR6531,,
FR7189,https://planefinder.net/data/flight/FR7189,,
FR6032,https://planefinder.net/data/flight/FR6032,,
FR1633,https://planefinder.net/data/flight/FR1633,,
FR6267,https://planefinder.net/data/flight/FR6267,,
FR6655,https://planefinder.net/data/flight/FR6655,,
FR9057,https://planefinder.net/data/flight/FR9057,,
FR5447,https://planefinder.net/data/flight/FR5447,,
FR3022,https://planefinder.net/data/flight/FR3022,,
FR6342,https://planefinder.net/data/flight/FR6342,,
FR1134,https://planefinder.net/data/flight/FR1134,,
FR505,https://planefinder.net/data/flight/FR505,,
FR1987,https://planefinder.net/data/flight/FR1987,,
FR1959,https://planefinder.net/data/flight/FR1959,,
FR2137,https://planefinder.net/data/flight/FR2137,,
FR2337,https://planefinder.net/data/flight/FR2337,,
FR9274,https://planefinder.net/data/flight/FR9274,,
FR2861,https://planefinder.net/data/flight/FR2861,,
FR8545,https://planefinder.net/data/flight/FR8545,,
FR1875,https://planefinder.net/data/flight/FR1875,,
FR282,https://planefinder.net/data/flight/FR282,,
FR1783,https://planefinder.net/data/flight/FR1783,,
FR1515,https://planefinder.net/data/flight/FR1515,,
FR7783,https://planefinder.net/data/flight/FR7783,,
FR6773,https://planefinder.net/data/flight/FR6773,,
FR9636,https://planefinder.net/data/flight/FR9636,,
FR4382,https://planefinder.net/data/flight/FR4382,,
FR1983,https://planefinder.net/data/flight/FR1983,,
FR6341,https://planefinder.net/data/flight/FR6341,,
FR9045,https://planefinder.net/data/flight/FR9045,,
FR4545,https://planefinder.net/data/flight/FR4545,,
FR5292,https://planefinder.net/data/flight/FR5292,,
FR4111,https://planefinder.net/data/flight/FR4111,,
FR5505,https://planefinder.net/data/flight/FR5505,,
FR8795,https://planefinder.net/data/flight/FR8795,,
FR201,https://planefinder.net/data/flight/FR201,,
FR6105,https://planefinder.net/data/flight/FR6105,,
FR4526,https://planefinder.net/data/flight/FR4526,,
